Source , Target , Score
MT536183.1 , MT270107.1 , 167613.0
MT520355.1 , MT270107.1 , 167691.0
MT499201.1 , MT270107.1 , 167724.0
MT451675.1 , MT270107.1 , 167713.0
MT263382.1 , MT270107.1 , 167345.0
MT520384.1 , MT520333.1 , 167831.0
MT446359.1 , MT520333.1 , 167609.0
MT412311.1 , MT520333.1 , 167838.0
MT520355.1 , MT520333.1 , 167788.0
MT536183.1 , MT520333.1 , 167614.0
MT499201.1 , MT520333.1 , 167821.0
MT451675.1 , MT520333.1 , 167835.0
MT263382.1 , MT520333.1 , 167417.0
MT520384.1 , MT459839.1 , 167905.0
MT412311.1 , MT459839.1 , 167888.0
MT446359.1 , MT459839.1 , 167601.0
MT536183.1 , MT459839.1 , 167606.0
MT520355.1 , MT459839.1 , 167887.0
MT499201.1 , MT459839.1 , 167920.0
MT451675.1 , MT459839.1 , 167923.0
MT263382.1 , MT459839.1 , 167407.0
MT520384.1 , MT334546.1 , 167978.0
MT412311.1 , MT334546.1 , 168095.0
MT446359.1 , MT334546.1 , 167552.0
MT536183.1 , MT334546.1 , 167557.0
MT520355.1 , MT334546.1 , 168112.0
MT499201.1 , MT334546.1 , 168270.0
MT451675.1 , MT334546.1 , 168031.0
MT263382.1 , MT334546.1 , 167671.0
MT520384.1 , MT510722.1 , 167798.0
MT412311.1 , MT510722.1 , 167833.0
MT446359.1 , MT510722.1 , 167620.0
MT520355.1 , MT510722.1 , 167769.0
MT536183.1 , MT510722.1 , 167625.0
MT499201.1 , MT510722.1 , 167802.0
MT451675.1 , MT510722.1 , 167830.0
MT263382.1 , MT510722.1 , 167358.0
MT520384.1 , MT520488.1 , 168018.0
MT412311.1 , MT520488.1 , 168018.0
MT446359.1 , MT520488.1 , 167615.0
MT520355.1 , MT520488.1 , 167975.0
MT536183.1 , MT520488.1 , 167620.0
MT499201.1 , MT520488.1 , 168009.0
MT451675.1 , MT520488.1 , 167958.0
MT263382.1 , MT520488.1 , 167521.0
MT520384.1 , MT450949.1 , 167774.0
MT412311.1 , MT450949.1 , 167795.0
MT446359.1 , MT450949.1 , 167543.0
MT536183.1 , MT450949.1 , 167548.0
MT520355.1 , MT450949.1 , 167814.0
MT499201.1 , MT450949.1 , 167841.0
MT451675.1 , MT450949.1 , 167792.0
MT263382.1 , MT450949.1 , 167396.0
MT520384.1 , MT520254.1 , 167187.0
MT446359.1 , MT520254.1 , 166988.0
MT412311.1 , MT520254.1 , 167208.0
MT536183.1 , MT520254.1 , 166993.0
MT499201.1 , MT520254.1 , 167254.0
MT520355.1 , MT520254.1 , 167221.0
MT451675.1 , MT520254.1 , 167151.0
MT263382.1 , MT520254.1 , 166938.0
MT520384.1 , MT520359.1 , 168016.0
MT446359.1 , MT520359.1 , 167614.0
MT412311.1 , MT520359.1 , 168002.0
MT536183.1 , MT520359.1 , 167619.0
MT499201.1 , MT520359.1 , 168026.0
MT520355.1 , MT520359.1 , 167993.0
MT451675.1 , MT520359.1 , 168000.0
MT263382.1 , MT520359.1 , 167496.0
MT520384.1 , MT415907.1 , 168040.0
MT446359.1 , MT415907.1 , 167600.0
MT536183.1 , MT415907.1 , 167605.0
MT412311.1 , MT415907.1 , 168143.0
MT499201.1 , MT415907.1 , 168296.0
MT520355.1 , MT415907.1 , 168134.0
MT451675.1 , MT415907.1 , 168079.0
MT263382.1 , MT415907.1 , 167706.0
MT520384.1 , MT450890.1 , 167921.0
MT446359.1 , MT450890.1 , 167615.0
MT536183.1 , MT450890.1 , 167620.0
MT412311.1 , MT450890.1 , 168088.0
MT499201.1 , MT450890.1 , 168057.0
MT520355.1 , MT450890.1 , 167924.0
MT451675.1 , MT450890.1 , 167907.0
MT263382.1 , MT450890.1 , 167615.0
MT520384.1 , MT375477.1 , 167022.0
MT446359.1 , MT375477.1 , 166813.0
MT536183.1 , MT375477.1 , 166818.0
MT412311.1 , MT375477.1 , 167195.0
MT499201.1 , MT375477.1 , 167244.0
MT520355.1 , MT375477.1 , 167099.0
MT451675.1 , MT375477.1 , 166976.0
MT263382.1 , MT375477.1 , 167411.0
MT520384.1 , MT461642.1 , 167165.0
MT446359.1 , MT461642.1 , 166976.0
MT536183.1 , MT461642.1 , 166981.0
MT412311.1 , MT461642.1 , 167362.0
MT499201.1 , MT461642.1 , 167313.0
MT520355.1 , MT461642.1 , 167174.0
MT451675.1 , MT461642.1 , 167139.0
MT263382.1 , MT461642.1 , 167295.0
MT520384.1 , MT412258.1 , 168024.0
MT446359.1 , MT412258.1 , 167620.0
MT536183.1 , MT412258.1 , 167625.0
MT412311.1 , MT412258.1 , 168163.0
MT520355.1 , MT412258.1 , 168146.0
MT499201.1 , MT412258.1 , 168292.0
MT451675.1 , MT412258.1 , 168090.0
MT263382.1 , MT412258.1 , 167711.0
MT520384.1 , MT375452.1 , 167920.0
MT446359.1 , MT375452.1 , 167552.0
MT536183.1 , MT375452.1 , 167557.0
MT412311.1 , MT375452.1 , 168066.0
MT520355.1 , MT375452.1 , 168007.0
MT499201.1 , MT375452.1 , 168128.0
MT451675.1 , MT375452.1 , 167875.0
MT263382.1 , MT375452.1 , 167713.0
MT520384.1 , MT474132.1 , 167994.0
MT446359.1 , MT474132.1 , 167568.0
MT412311.1 , MT474132.1 , 167999.0
MT536183.1 , MT474132.1 , 167573.0
MT520355.1 , MT474132.1 , 168134.0
MT499201.1 , MT474132.1 , 168189.0
MT451675.1 , MT474132.1 , 168047.0
MT263382.1 , MT474132.1 , 167581.0
MT520384.1 , MT528602.1 , 167901.0
MT446359.1 , MT528602.1 , 167512.0
MT412311.1 , MT528602.1 , 167884.0
MT520355.1 , MT528602.1 , 167935.0
MT536183.1 , MT528602.1 , 167517.0
MT499201.1 , MT528602.1 , 167968.0
MT451675.1 , MT528602.1 , 167881.0
MT263382.1 , MT528602.1 , 167483.0
MT520384.1 , MT375447.1 , 168027.0
MT446359.1 , MT375447.1 , 167623.0
MT412311.1 , MT375447.1 , 168162.0
MT520355.1 , MT375447.1 , 168149.0
MT536183.1 , MT375447.1 , 167628.0
MT499201.1 , MT375447.1 , 168304.0
MT451675.1 , MT375447.1 , 168093.0
MT263382.1 , MT375447.1 , 167710.0
MT520384.1 , MT358722.1 , 168029.0
MT446359.1 , MT358722.1 , 167623.0
MT412311.1 , MT358722.1 , 168178.0
MT520355.1 , MT358722.1 , 168060.0
MT536183.1 , MT358722.1 , 167628.0
MT499201.1 , MT358722.1 , 168205.0
MT451675.1 , MT358722.1 , 168031.0
MT263382.1 , MT358722.1 , 167676.0
MT520384.1 , LC547528.1 , 167703.0
MT446359.1 , LC547528.1 , 167494.0
MT412311.1 , LC547528.1 , 167736.0
MT536183.1 , LC547528.1 , 167499.0
MT520355.1 , LC547528.1 , 167708.0
MT499201.1 , LC547528.1 , 167741.0
MT451675.1 , LC547528.1 , 167657.0
MT263382.1 , LC547528.1 , 167431.0
MT520384.1 , MT370868.1 , 167350.0
MT446359.1 , MT370868.1 , 167272.0
MT412311.1 , MT370868.1 , 167376.0
MT520355.1 , MT370868.1 , 167312.0
MT536183.1 , MT370868.1 , 167277.0
MT499201.1 , MT370868.1 , 167345.0
MT451675.1 , MT370868.1 , 167373.0
MT263382.1 , MT370868.1 , 166970.0
MT446359.1 , MT325612.1 , 167603.0
MT520384.1 , MT325612.1 , 168029.0
MT520355.1 , MT325612.1 , 168152.0
MT412311.1 , MT325612.1 , 168062.0
MT499201.1 , MT325612.1 , 168240.0
MT536183.1 , MT325612.1 , 167608.0
MT451675.1 , MT325612.1 , 168082.0
MT263382.1 , MT325612.1 , 167627.0
MT446359.1 , MT499172.1 , 167629.0
MT520384.1 , MT499172.1 , 168041.0
MT520355.1 , MT499172.1 , 168158.0
MT412311.1 , MT499172.1 , 168172.0
MT499201.1 , MT499172.1 , 168308.0
MT536183.1 , MT499172.1 , 167634.0
MT451675.1 , MT499172.1 , 168108.0
MT263382.1 , MT499172.1 , 167723.0
MT446359.1 , MT533234.1 , 167619.0
MT520384.1 , MT533234.1 , 168045.0
MT520355.1 , MT533234.1 , 168159.0
MT412311.1 , MT533234.1 , 168066.0
MT499201.1 , MT533234.1 , 168235.0
MT536183.1 , MT533234.1 , 167624.0
MT451675.1 , MT533234.1 , 168098.0
MT263382.1 , MT533234.1 , 167636.0
MT446359.1 , MT509459.1 , 167611.0
MT520384.1 , MT509459.1 , 167684.0
MT520355.1 , MT509459.1 , 167655.0
MT412311.1 , MT509459.1 , 167719.0
MT499201.1 , MT509459.1 , 167688.0
MT536183.1 , MT509459.1 , 167616.0
MT451675.1 , MT509459.1 , 167716.0
MT263382.1 , MT509459.1 , 167309.0
MT446359.1 , MT370833.1 , 167272.0
MT520384.1 , MT370833.1 , 167350.0
MT520355.1 , MT370833.1 , 167312.0
MT412311.1 , MT370833.1 , 167376.0
MT499201.1 , MT370833.1 , 167345.0
MT536183.1 , MT370833.1 , 167277.0
MT451675.1 , MT370833.1 , 167373.0
MT263382.1 , MT370833.1 , 166970.0
MT446359.1 , MT375472.1 , 167476.0
MT520384.1 , MT375472.1 , 167804.0
MT520355.1 , MT375472.1 , 167827.0
MT412311.1 , MT375472.1 , 167967.0
MT499201.1 , MT375472.1 , 167956.0
MT536183.1 , MT375472.1 , 167481.0
MT451675.1 , MT375472.1 , 167772.0
MT263382.1 , MT375472.1 , 167702.0
MT446359.1 , MT358701.1 , 167614.0
MT520384.1 , MT358701.1 , 167982.0
MT412311.1 , MT358701.1 , 168047.0
MT520355.1 , MT358701.1 , 167994.0
MT499201.1 , MT358701.1 , 168027.0
MT451675.1 , MT358701.1 , 167951.0
MT263382.1 , MT358701.1 , 167532.0
MT536183.1 , MT358701.1 , 167619.0
MT412311.1 , MT339040.1 , 166468.0
MT446359.1 , MT339040.1 , 165925.0
MT520384.1 , MT339040.1 , 166351.0
MT520355.1 , MT339040.1 , 166436.0
MT451675.1 , MT339040.1 , 166361.0
MT263382.1 , MT339040.1 , 166031.0
MT499201.1 , MT339040.1 , 166586.0
MT536183.1 , MT339040.1 , 165930.0
MT412311.1 , MT568641.1 , 167995.0
MT520384.1 , MT568641.1 , 168010.0
MT446359.1 , MT568641.1 , 167584.0
MT263382.1 , MT568641.1 , 167651.0
MT520355.1 , MT568641.1 , 168176.0
MT451675.1 , MT568641.1 , 168063.0
MT499201.1 , MT568641.1 , 168231.0
MT536183.1 , MT568641.1 , 167589.0
MT412311.1 , MT450903.1 , 167952.0
MT520384.1 , MT450903.1 , 167951.0
MT446359.1 , MT450903.1 , 167609.0
MT520355.1 , MT450903.1 , 167908.0
MT263382.1 , MT450903.1 , 167490.0
MT451675.1 , MT450903.1 , 167907.0
MT499201.1 , MT450903.1 , 167941.0
MT536183.1 , MT450903.1 , 167614.0
MT412311.1 , MT325611.1 , 168074.0
MT446359.1 , MT325611.1 , 167615.0
MT451675.1 , MT325611.1 , 168094.0
MT520355.1 , MT325611.1 , 168164.0
MT520384.1 , MT325611.1 , 168041.0
MT499201.1 , MT325611.1 , 168252.0
MT536183.1 , MT325611.1 , 167620.0
MT263382.1 , MT325611.1 , 167639.0
MT412311.1 , MT345841.1 , 168041.0
MT446359.1 , MT345841.1 , 167558.0
MT451675.1 , MT345841.1 , 168009.0
MT520355.1 , MT345841.1 , 168136.0
MT520384.1 , MT345841.1 , 167970.0
MT499201.1 , MT345841.1 , 168226.0
MT536183.1 , MT345841.1 , 167563.0
MT263382.1 , MT345841.1 , 167731.0
MT412311.1 , MT276330.2 , 168008.0
MT446359.1 , MT276330.2 , 167549.0
MT520355.1 , MT276330.2 , 168161.0
MT451675.1 , MT276330.2 , 168028.0
MT536183.1 , MT276330.2 , 167554.0
MT520384.1 , MT276330.2 , 167975.0
MT499201.1 , MT276330.2 , 168249.0
MT263382.1 , MT276330.2 , 167688.0
MT412311.1 , MT451161.1 , 167762.0
MT520355.1 , MT451161.1 , 167775.0
MT446359.1 , MT451161.1 , 167553.0
MT451675.1 , MT451161.1 , 167759.0
MT536183.1 , MT451161.1 , 167558.0
MT520384.1 , MT451161.1 , 167741.0
MT499201.1 , MT451161.1 , 167808.0
MT263382.1 , MT451161.1 , 167429.0
MT412311.1 , MT446349.1 , 167593.0
MT520355.1 , MT446349.1 , 167529.0
MT446359.1 , MT446349.1 , 167587.0
MT451675.1 , MT446349.1 , 167590.0
MT536183.1 , MT446349.1 , 167592.0
MT520384.1 , MT446349.1 , 167558.0
MT499201.1 , MT446349.1 , 167562.0
MT263382.1 , MT446349.1 , 167203.0
MT412311.1 , MT499204.1 , 168163.0
MT446359.1 , MT499204.1 , 167620.0
MT520355.1 , MT499204.1 , 168155.0
MT451675.1 , MT499204.1 , 168099.0
MT520384.1 , MT499204.1 , 168032.0
MT536183.1 , MT499204.1 , 167625.0
MT499201.1 , MT499204.1 , 168327.0
MT263382.1 , MT499204.1 , 167714.0
MT412311.1 , MT419818.1 , 167465.0
MT520355.1 , MT419818.1 , 167401.0
MT446359.1 , MT419818.1 , 167318.0
MT451675.1 , MT419818.1 , 167462.0
MT520384.1 , MT419818.1 , 167430.0
MT536183.1 , MT419818.1 , 167323.0
MT263382.1 , MT419818.1 , 167253.0
MT499201.1 , MT419818.1 , 167434.0
MT412311.1 , MT263074.1 , 167995.0
MT520355.1 , MT263074.1 , 168087.0
MT446359.1 , MT263074.1 , 167592.0
MT451675.1 , MT263074.1 , 168060.0
MT520384.1 , MT263074.1 , 168018.0
MT536183.1 , MT263074.1 , 167597.0
MT499201.1 , MT263074.1 , 168125.0
MT263382.1 , MT263074.1 , 167565.0
MT412311.1 , MT252739.1 , 167976.0
MT520355.1 , MT252739.1 , 168018.0
MT446359.1 , MT252739.1 , 167562.0
MT451675.1 , MT252739.1 , 167902.0
MT520384.1 , MT252739.1 , 167948.0
MT536183.1 , MT252739.1 , 167567.0
MT499201.1 , MT252739.1 , 168051.0
MT263382.1 , MT252739.1 , 167625.0
MT412311.1 , MT451178.1 , 167877.0
MT520355.1 , MT451178.1 , 167838.0
MT446359.1 , MT451178.1 , 167610.0
MT451675.1 , MT451178.1 , 167874.0
MT520384.1 , MT451178.1 , 167856.0
MT263382.1 , MT451178.1 , 167432.0
MT536183.1 , MT451178.1 , 167615.0
MT499201.1 , MT451178.1 , 167871.0
MT412311.1 , MT482130.1 , 168100.0
MT446359.1 , MT482130.1 , 167588.0
MT520355.1 , MT482130.1 , 167953.0
MT451675.1 , MT482130.1 , 167893.0
MT520384.1 , MT482130.1 , 167939.0
MT263382.1 , MT482130.1 , 167641.0
MT536183.1 , MT482130.1 , 167593.0
MT499201.1 , MT482130.1 , 168094.0
MT412311.1 , MT412264.1 , 167698.0
MT520355.1 , MT412264.1 , 167648.0
MT446359.1 , MT412264.1 , 167434.0
MT451675.1 , MT412264.1 , 167641.0
MT520384.1 , MT412264.1 , 167677.0
MT536183.1 , MT412264.1 , 167439.0
MT263382.1 , MT412264.1 , 167486.0
MT412311.1 , MT291826.1 , 167766.0
MT499201.1 , MT412264.1 , 167681.0
MT520355.1 , MT291826.1 , 167719.0
MT446359.1 , MT291826.1 , 167424.0
MT451675.1 , MT291826.1 , 167587.0
MT520384.1 , MT291826.1 , 167633.0
MT536183.1 , MT291826.1 , 167429.0
MT263382.1 , MT291826.1 , 167586.0
MT499201.1 , MT291826.1 , 167832.0
MT412311.1 , MT246482.1 , 167889.0
MT446359.1 , MT246482.1 , 167520.0
MT520355.1 , MT246482.1 , 167814.0
MT451675.1 , MT246482.1 , 167702.0
MT520384.1 , MT246482.1 , 167748.0
MT536183.1 , MT246482.1 , 167525.0
MT263382.1 , MT246482.1 , 167635.0
MT412311.1 , MT385443.1 , 168039.0
MT499201.1 , MT246482.1 , 167935.0
MT446359.1 , MT385443.1 , 167544.0
MT520355.1 , MT385443.1 , 168134.0
MT451675.1 , MT385443.1 , 168007.0
MT520384.1 , MT385443.1 , 167970.0
MT536183.1 , MT385443.1 , 167549.0
MT263382.1 , MT385443.1 , 167733.0
MT412311.1 , MT412312.1 , 168117.0
MT499201.1 , MT385443.1 , 168236.0
MT520355.1 , MT412312.1 , 168165.0
MT446359.1 , MT412312.1 , 167562.0
MT451675.1 , MT412312.1 , 168032.0
MT520384.1 , MT412312.1 , 167980.0
MT536183.1 , MT412312.1 , 167567.0
MT412311.1 , MT259257.1 , 168047.0
MT499201.1 , MT412312.1 , 168333.0
MT263382.1 , MT412312.1 , 167820.0
MT446359.1 , MT259257.1 , 167549.0
MT520355.1 , MT259257.1 , 167989.0
MT451675.1 , MT259257.1 , 167882.0
MT520384.1 , MT259257.1 , 167913.0
MT536183.1 , MT259257.1 , 167554.0
MT412311.1 , MT477850.1 , 168015.0
MT263382.1 , MT259257.1 , 167704.0
MT499201.1 , MT259257.1 , 168116.0
MT446359.1 , MT477850.1 , 167596.0
MT520355.1 , MT477850.1 , 168104.0
MT451675.1 , MT477850.1 , 168041.0
MT520384.1 , MT477850.1 , 168022.0
MT536183.1 , MT477850.1 , 167601.0
MT412311.1 , MT506887.1 , 167718.0
MT499201.1 , MT477850.1 , 168142.0
MT263382.1 , MT477850.1 , 167587.0
MT446359.1 , MT506887.1 , 167610.0
MT520355.1 , MT506887.1 , 167668.0
MT451675.1 , MT506887.1 , 167715.0
MT520384.1 , MT506887.1 , 167697.0
MT536183.1 , MT506887.1 , 167615.0
MT499201.1 , MT506887.1 , 167701.0
MT263382.1 , MT506887.1 , 167322.0
MT412311.1 , MT259286.1 , 168089.0
MT446359.1 , MT259286.1 , 167617.0
MT520355.1 , MT259286.1 , 168037.0
MT451675.1 , MT259286.1 , 167982.0
MT520384.1 , MT259286.1 , 168014.0
MT536183.1 , MT259286.1 , 167622.0
MT263382.1 , MT259286.1 , 167579.0
MT499201.1 , MT259286.1 , 168102.0
MT412311.1 , MT451109.1 , 167726.0
MT446359.1 , MT451109.1 , 167473.0
MT520355.1 , MT451109.1 , 167906.0
MT451675.1 , MT451109.1 , 167845.0
MT520384.1 , MT451109.1 , 167753.0
MT536183.1 , MT451109.1 , 167478.0
MT499201.1 , MT451109.1 , 167894.0
MT263382.1 , MT451109.1 , 167348.0
MT412311.1 , MT451885.1 , 167822.0
MT446359.1 , MT451885.1 , 167598.0
MT520355.1 , MT451885.1 , 167772.0
MT451675.1 , MT451885.1 , 167819.0
MT520384.1 , MT451885.1 , 167801.0
MT536183.1 , MT451885.1 , 167603.0
MT263382.1 , MT451885.1 , 167366.0
MT499201.1 , MT451885.1 , 167805.0
MT412311.1 , MT163718.1 , 168106.0
MT446359.1 , MT163718.1 , 167562.0
MT520355.1 , MT163718.1 , 168165.0
MT451675.1 , MT163718.1 , 168032.0
MT520384.1 , MT163718.1 , 167988.0
MT536183.1 , MT163718.1 , 167567.0
MT499201.1 , MT163718.1 , 168325.0
MT263382.1 , MT163718.1 , 167790.0
MT412311.1 , MT534334.1 , 167985.0
MT446359.1 , MT534334.1 , 167558.0
MT520355.1 , MT534334.1 , 168130.0
MT451675.1 , MT534334.1 , 168007.0
MT520384.1 , MT534334.1 , 167984.0
MT536183.1 , MT534334.1 , 167563.0
MT499201.1 , MT534334.1 , 168168.0
MT263382.1 , MT534334.1 , 167613.0
MT446359.1 , MN994467.1 , 167554.0
MT412311.1 , MN994467.1 , 168013.0
MT520355.1 , MN994467.1 , 168166.0
MT451675.1 , MN994467.1 , 168033.0
MT520384.1 , MN994467.1 , 167980.0
MT536183.1 , MN994467.1 , 167559.0
MT499201.1 , MN994467.1 , 168254.0
MT263382.1 , MN994467.1 , 167669.0
MT412311.1 , MT370861.1 , 167700.0
MT446359.1 , MT370861.1 , 167596.0
MT520355.1 , MT370861.1 , 167636.0
MT451675.1 , MT370861.1 , 167697.0
MT520384.1 , MT370861.1 , 167665.0
MT536183.1 , MT370861.1 , 167601.0
MT499201.1 , MT370861.1 , 167669.0
MT263382.1 , MT370861.1 , 167294.0
MT412311.1 , MT259228.1 , 168004.0
MT446359.1 , MT259228.1 , 167589.0
MT520355.1 , MT259228.1 , 168139.0
MT451675.1 , MT259228.1 , 168029.0
MT520384.1 , MT259228.1 , 167999.0
MT536183.1 , MT259228.1 , 167594.0
MT412311.1 , MT412262.1 , 167673.0
MT499201.1 , MT259228.1 , 168177.0
MT263382.1 , MT259228.1 , 167632.0
MT446359.1 , MT412262.1 , 167335.0
MT520355.1 , MT412262.1 , 167527.0
MT451675.1 , MT412262.1 , 167498.0
MT520384.1 , MT412262.1 , 167524.0
MT536183.1 , MT412262.1 , 167340.0
MT499201.1 , MT412262.1 , 167632.0
MT263382.1 , MT412262.1 , 167388.0
MT412311.1 , MT358690.1 , 167917.0
MT446359.1 , MT358690.1 , 167494.0
MT451675.1 , MT358690.1 , 167948.0
MT520355.1 , MT358690.1 , 168063.0
MT520384.1 , MT358690.1 , 167911.0
MT536183.1 , MT358690.1 , 167499.0
MT499201.1 , MT358690.1 , 168101.0
MT263382.1 , MT358690.1 , 167570.0
MT412311.1 , MT451366.1 , 166815.0
MT446359.1 , MT451366.1 , 166534.0
MT451675.1 , MT451366.1 , 166812.0
MT520355.1 , MT451366.1 , 166828.0
MT520384.1 , MT451366.1 , 166794.0
MT536183.1 , MT451366.1 , 166539.0
MT499201.1 , MT451366.1 , 166861.0
MT263382.1 , MT451366.1 , 166477.0
MT412311.1 , MT252712.1 , 167715.0
MT446359.1 , MT252712.1 , 167485.0
MT451675.1 , MT252712.1 , 167648.0
MT520355.1 , MT252712.1 , 167641.0
MT520384.1 , MT252712.1 , 167670.0
MT536183.1 , MT252712.1 , 167490.0
MT499201.1 , MT252712.1 , 167674.0
MT412311.1 , MT252784.1 , 168080.0
MT446359.1 , MT252784.1 , 167529.0
MT263382.1 , MT252712.1 , 167397.0
MT451675.1 , MT252784.1 , 168008.0
MT520355.1 , MT252784.1 , 168089.0
MT520384.1 , MT252784.1 , 167955.0
MT536183.1 , MT252784.1 , 167534.0
MT499201.1 , MT252784.1 , 168261.0
MT412311.1 , MT534330.1 , 168098.0
MT446359.1 , MT534330.1 , 167555.0
MT263382.1 , MT252784.1 , 167683.0
MT520355.1 , MT534330.1 , 168167.0
MT451675.1 , MT534330.1 , 168034.0
MT520384.1 , MT534330.1 , 167981.0
MT536183.1 , MT534330.1 , 167560.0
MT499201.1 , MT534330.1 , 168339.0
MT412311.1 , MT412276.1 , 168002.0
MT446359.1 , MT412276.1 , 167587.0
MT263382.1 , MT534330.1 , 167726.0
MT520355.1 , MT412276.1 , 167963.0
MT451675.1 , MT412276.1 , 167928.0
MT520384.1 , MT412276.1 , 167955.0
MT536183.1 , MT412276.1 , 167592.0
MT499201.1 , MT412276.1 , 167996.0
MT446359.1 , MT375445.1 , 167625.0
MT412311.1 , MT375445.1 , 168147.0
MT263382.1 , MT412276.1 , 167497.0
MT451675.1 , MT375445.1 , 167954.0
MT520355.1 , MT375445.1 , 168004.0
MT520384.1 , MT375445.1 , 167971.0
MT536183.1 , MT375445.1 , 167630.0
MT499201.1 , MT375445.1 , 168146.0
MT263382.1 , MT375445.1 , 167655.0
MT446359.1 , MT558664.1 , 167620.0
MT412311.1 , MT558664.1 , 168158.0
MT451675.1 , MT558664.1 , 167964.0
MT520355.1 , MT558664.1 , 167999.0
MT520384.1 , MT558664.1 , 167996.0
MT536183.1 , MT558664.1 , 167625.0
MT499201.1 , MT558664.1 , 168140.0
MT263382.1 , MT558664.1 , 167655.0
MT446359.1 , MT263419.1 , 167556.0
MT412311.1 , MT263419.1 , 167989.0
MT451675.1 , MT263419.1 , 167782.0
