Accession,Species,Length,Geo_Location,Host
MT598175,Severe acute respiratory syndrome-related coronavirus,29819,"USA: San Diego, California",Homo sapiens
MT598176,Severe acute respiratory syndrome-related coronavirus,29798,"USA: San Diego, California",Homo sapiens
MT598177,Severe acute respiratory syndrome-related coronavirus,29826,"USA: San Diego, California",Homo sapiens
MT598178,Severe acute respiratory syndrome-related coronavirus,29864,"USA: San Diego, California",Homo sapiens
MT598633,Severe acute respiratory syndrome-related coronavirus,29857,"USA: King County,WA",Homo sapiens
MT598634,Severe acute respiratory syndrome-related coronavirus,29868,USA: WA,Homo sapiens
MT598635,Severe acute respiratory syndrome-related coronavirus,29664,"USA: King County,WA",Homo sapiens
MT598636,Severe acute respiratory syndrome-related coronavirus,29857,USA: WA,Homo sapiens
MT598637,Severe acute respiratory syndrome-related coronavirus,29731,"USA: Snohomish County,WA",Homo sapiens
MT598638,Severe acute respiratory syndrome-related coronavirus,29619,"USA: King County,WA",Homo sapiens
MT598639,Severe acute respiratory syndrome-related coronavirus,29855,"USA: King County,WA",Homo sapiens
MT598640,Severe acute respiratory syndrome-related coronavirus,29856,"USA: King County,WA",Homo sapiens
MT598641,Severe acute respiratory syndrome-related coronavirus,29872,"USA: King County,WA",Homo sapiens
MT598642,Severe acute respiratory syndrome-related coronavirus,29879,"USA: King County,WA",Homo sapiens
MT601275,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT601276,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT601277,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT601278,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT601279,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT601280,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT601281,Severe acute respiratory syndrome-related coronavirus,29900,Bangladesh: Chattogram,Homo sapiens
MT601282,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Chattogram,Homo sapiens
MT601283,Severe acute respiratory syndrome-related coronavirus,29887,Bangladesh: Chattogram,Homo sapiens
MT601284,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Chattogram,Homo sapiens
MT601285,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT601286,Severe acute respiratory syndrome-related coronavirus,29883,Bangladesh: Dhaka,Homo sapiens
MT601287,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT601288,Severe acute respiratory syndrome-related coronavirus,29871,Bangladesh: Dhaka,Homo sapiens
MT601289,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT601290,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT601291,Severe acute respiratory syndrome-related coronavirus,29890,Bangladesh: Dhaka,Homo sapiens
MT601292,Severe acute respiratory syndrome-related coronavirus,29883,Bangladesh: Dhaka,Homo sapiens
MT601293,Severe acute respiratory syndrome-related coronavirus,29870,Bangladesh: Dhaka,Homo sapiens
MT601294,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT601295,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Narayanganj,Homo sapiens
MT590598,Severe acute respiratory syndrome-related coronavirus,29854,Taiwan,Homo sapiens
MT590599,Severe acute respiratory syndrome-related coronavirus,29901,Taiwan,Homo sapiens
MT590600,Severe acute respiratory syndrome-related coronavirus,29901,Taiwan,Homo sapiens
MT594109,Severe acute respiratory syndrome-related coronavirus,29882,USA,Homo sapiens
MT594112,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT479223,Severe acute respiratory syndrome-related coronavirus,29900,Taiwan,Homo sapiens
MT479224,Severe acute respiratory syndrome-related coronavirus,29857,Taiwan,Homo sapiens
MT479225,Severe acute respiratory syndrome-related coronavirus,29902,Taiwan,Homo sapiens
MT479226,Severe acute respiratory syndrome-related coronavirus,29900,Taiwan,Homo sapiens
MT479227,Severe acute respiratory syndrome-related coronavirus,29899,Taiwan,Homo sapiens
MT584980,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT584981,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT584982,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens
MT584983,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens
MT584984,Severe acute respiratory syndrome-related coronavirus,29845,USA: Michigan,Homo sapiens
MT584985,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens
MT584986,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens
MT584987,Severe acute respiratory syndrome-related coronavirus,29809,USA: Michigan,Homo sapiens
MT584988,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT584989,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT584990,Severe acute respiratory syndrome-related coronavirus,29796,USA: Michigan,Homo sapiens
MT584991,Severe acute respiratory syndrome-related coronavirus,29799,USA: Michigan,Homo sapiens
MT584992,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens
MT584993,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT584994,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT584995,Severe acute respiratory syndrome-related coronavirus,29797,USA: Michigan,Homo sapiens
MT584996,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT584997,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT584998,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT584999,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT585000,Severe acute respiratory syndrome-related coronavirus,29795,USA: Michigan,Homo sapiens
MT585001,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT585002,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT585003,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT585004,Severe acute respiratory syndrome-related coronavirus,29797,USA: Michigan,Homo sapiens
MT585005,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT585006,Severe acute respiratory syndrome-related coronavirus,29799,USA: Michigan,Homo sapiens
MT585007,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT585008,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT585009,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens
MT585010,Severe acute respiratory syndrome-related coronavirus,29828,USA: Michigan,Homo sapiens
MT585011,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens
MT585012,Severe acute respiratory syndrome-related coronavirus,29804,USA: Michigan,Homo sapiens
MT585013,Severe acute respiratory syndrome-related coronavirus,29798,USA: Michigan,Homo sapiens
MT585014,Severe acute respiratory syndrome-related coronavirus,29819,USA: Michigan,Homo sapiens
MT585015,Severe acute respiratory syndrome-related coronavirus,29802,USA: Michigan,Homo sapiens
MT585016,Severe acute respiratory syndrome-related coronavirus,29805,USA: Michigan,Homo sapiens
MT585017,Severe acute respiratory syndrome-related coronavirus,29801,USA: Michigan,Homo sapiens
MT585018,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens
MT585019,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585020,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585021,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585022,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585023,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585024,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585025,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585026,Severe acute respiratory syndrome-related coronavirus,29816,USA: Michigan,Homo sapiens
MT585027,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT585028,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585029,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT585030,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585031,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585032,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585033,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585034,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT585035,Severe acute respiratory syndrome-related coronavirus,29801,USA: Michigan,Homo sapiens
MT585036,Severe acute respiratory syndrome-related coronavirus,29818,USA: Michigan,Homo sapiens
MT585037,Severe acute respiratory syndrome-related coronavirus,29803,USA: Michigan,Homo sapiens
MT585038,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585039,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT585040,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585041,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585042,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585043,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585044,Severe acute respiratory syndrome-related coronavirus,29830,USA: Michigan,Homo sapiens
MT585045,Severe acute respiratory syndrome-related coronavirus,29815,USA: Michigan,Homo sapiens
MT585046,Severe acute respiratory syndrome-related coronavirus,29800,USA: Michigan,Homo sapiens
MT585047,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585048,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens
MT585049,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT585050,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585051,Severe acute respiratory syndrome-related coronavirus,29857,USA: Michigan,Homo sapiens
MT585052,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585053,Severe acute respiratory syndrome-related coronavirus,29800,USA: Michigan,Homo sapiens
MT585054,Severe acute respiratory syndrome-related coronavirus,29812,USA: Michigan,Homo sapiens
MT585055,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT585056,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585057,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT585058,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585059,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585060,Severe acute respiratory syndrome-related coronavirus,29814,USA: Michigan,Homo sapiens
MT585061,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT585062,Severe acute respiratory syndrome-related coronavirus,29789,USA: Michigan,Homo sapiens
MT585063,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585064,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585065,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585066,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585067,Severe acute respiratory syndrome-related coronavirus,29825,USA: Michigan,Homo sapiens
MT585068,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585069,Severe acute respiratory syndrome-related coronavirus,29813,USA: Michigan,Homo sapiens
MT585070,Severe acute respiratory syndrome-related coronavirus,29823,USA: Michigan,Homo sapiens
MT585071,Severe acute respiratory syndrome-related coronavirus,29826,USA: Michigan,Homo sapiens
MT585072,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585073,Severe acute respiratory syndrome-related coronavirus,29854,USA: Michigan,Homo sapiens
MT585074,Severe acute respiratory syndrome-related coronavirus,29806,USA: Michigan,Homo sapiens
MT585075,Severe acute respiratory syndrome-related coronavirus,29790,USA: Michigan,Homo sapiens
MT585076,Severe acute respiratory syndrome-related coronavirus,29795,USA: Michigan,Homo sapiens
MT585077,Severe acute respiratory syndrome-related coronavirus,29788,USA: Michigan,Homo sapiens
MT585078,Severe acute respiratory syndrome-related coronavirus,29824,USA: Michigan,Homo sapiens
MT585079,Severe acute respiratory syndrome-related coronavirus,29807,USA: Michigan,Homo sapiens
MT585080,Severe acute respiratory syndrome-related coronavirus,29818,USA: Michigan,Homo sapiens
MT585082,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585083,Severe acute respiratory syndrome-related coronavirus,29776,USA,Homo sapiens
MT585084,Severe acute respiratory syndrome-related coronavirus,29776,USA,Homo sapiens
MT585085,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585086,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585087,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585088,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585089,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585090,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585091,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585092,Severe acute respiratory syndrome-related coronavirus,29776,USA,Homo sapiens
MT585093,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585094,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585095,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585096,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585097,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585098,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585099,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585100,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585101,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585102,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585103,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585104,Severe acute respiratory syndrome-related coronavirus,29777,USA,Homo sapiens
MT585105,Severe acute respiratory syndrome-related coronavirus,29487,USA,Homo sapiens
MT577359,Severe acute respiratory syndrome-related coronavirus,29816,Bangladesh,Homo sapiens
MT582446,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582447,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582448,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582449,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582450,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582451,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582452,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582453,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582454,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582455,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582456,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582457,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582458,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582459,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582460,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582461,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582462,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582463,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582464,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582465,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582466,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582467,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582468,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582469,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582470,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582471,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582472,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582473,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582474,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582475,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582476,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582477,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582478,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582479,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582480,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582481,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582482,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582483,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582484,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582485,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582486,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582487,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582488,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582489,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Dusseldorf,Homo sapiens
MT582490,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582491,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582492,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582493,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582494,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582495,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582496,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582497,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582498,Severe acute respiratory syndrome-related coronavirus,29782,Germany: Heinsberg,Homo sapiens
MT582499,Severe acute respiratory syndrome-related coronavirus,29768,Germany: Heinsberg,Homo sapiens
MT499215,Severe acute respiratory syndrome-related coronavirus,29646,Tunisia,Homo sapiens
MT499216,Severe acute respiratory syndrome-related coronavirus,29541,Tunisia,Homo sapiens
MT499217,Severe acute respiratory syndrome-related coronavirus,29647,Tunisia,Homo sapiens
MT499218,Severe acute respiratory syndrome-related coronavirus,29786,Tunisia,Homo sapiens
MT499219,Severe acute respiratory syndrome-related coronavirus,29802,Tunisia,Homo sapiens
MT499220,Severe acute respiratory syndrome-related coronavirus,29825,Tunisia,Homo sapiens
MT576025,Severe acute respiratory syndrome-related coronavirus,29836,Spain: ASTURIAS,Homo sapiens
MT576026,Severe acute respiratory syndrome-related coronavirus,29836,Spain: ASTURIAS,Homo sapiens
MT576027,Severe acute respiratory syndrome-related coronavirus,29835,Spain: ASTURIAS,Homo sapiens
MT576028,Severe acute respiratory syndrome-related coronavirus,29836,Spain: ASTURIAS,Homo sapiens
MT576029,Severe acute respiratory syndrome-related coronavirus,29839,Spain: ASTURIAS,Homo sapiens
MT576030,Severe acute respiratory syndrome-related coronavirus,29834,Spain: ASTURIAS,Homo sapiens
MT576031,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576032,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576033,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576034,Severe acute respiratory syndrome-related coronavirus,29800,India: Rajkot,Homo sapiens
MT576035,Severe acute respiratory syndrome-related coronavirus,29800,India: Vadodara,Homo sapiens
MT576037,Severe acute respiratory syndrome-related coronavirus,29800,India: Vadodara,Homo sapiens
MT576038,Severe acute respiratory syndrome-related coronavirus,29800,India: Rajkot,Homo sapiens
MT576039,Severe acute respiratory syndrome-related coronavirus,29800,India: Vadodara,Homo sapiens
MT576040,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576041,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576042,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576043,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576044,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576045,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576046,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576047,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576048,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576049,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576052,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576053,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576054,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576055,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576056,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576057,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576058,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576059,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576060,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576061,Severe acute respiratory syndrome-related coronavirus,29801,India: Ahmedabad,Homo sapiens
MT576529,Severe acute respiratory syndrome-related coronavirus,29800,India: Himatnagar,Homo sapiens
MT576530,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576531,Severe acute respiratory syndrome-related coronavirus,29800,India: Ahmedabad,Homo sapiens
MT576532,Severe acute respiratory syndrome-related coronavirus,29800,India: Himatnagar,Homo sapiens
MT576584,Severe acute respiratory syndrome-related coronavirus,29760,Nigeria,Homo sapiens
MT576639,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT576640,Severe acute respiratory syndrome-related coronavirus,29871,Bangladesh: Dhaka,Homo sapiens
MT576641,Severe acute respiratory syndrome-related coronavirus,29903,Bangladesh: Dhaka,Homo sapiens
MT576642,Severe acute respiratory syndrome-related coronavirus,29872,Bangladesh: Dhaka,Homo sapiens
MT576643,Severe acute respiratory syndrome-related coronavirus,29882,Bangladesh: Dhaka,Homo sapiens
MT576644,Severe acute respiratory syndrome-related coronavirus,29871,Bangladesh: Dhaka,Homo sapiens
